"Phrase, Frequency"
"AND ALSO THE PEOPLE WHO,1"
"AND THUS MORONI HAD OBTAINED,1"
"AND IT WAS FILLED WITH,1"
"NOW THIS WAS THE COVENANT,1"
"AND WHOSO COMETH UNTO ME,1"
"THUS THEY WERE,3"
"NOW BEHOLD IT WAS,1"
"KNOW YE NOT THAT I,3"
"PUT ON STRENGTH,1"
"FOR I WILL FULFIL MY,1"
"BELIEVE IN GOD BELIEVE THAT,1"
"AND MORONI COMMANDED HIS MEN,1"
"THESE TWO SONS ARE,1"
"AND NEPHI WHO WAS THE,1"
"CORIANTOR WAS,1"
",5"
"AND EVEN ALL THIS,1"
"FOR BEHOLD THAT ALL,1"
"BELIEVEST THOU THIS,1"
"I OUGHT,1"
"AND NOW WHEN THEY HEARD,1"
"AND AFTER THIS MANNER SHALL,1"
"WHO WILL RISE,1"
"YEA THEY WENT,1"
"AND NOW THAT MY,1"
"AND THESE THINGS DOTH THE,1"
"BEHOLD THY,1"
"WHY WILL YE DIE TURN,1"
"LET HIM COME,1"
"AND ZEEZROM SAID AGAIN,2"
"BUT WHY SHOULD I,1"
"THEIR WARS AND CONTENTIONS,1"
"AND IF HE,1"
"AND KINGS SHALL BE,2"
"IF YE HAVE HOW CAN,1"
"THEREFORE WHOSO HEARETH THESE,1"
"BUT WHATSOEVER THING PERSUADETH,1"
"AND NOW SAITH THE LORD,1"
"SANCTIFY THE LORD,1"
"NOW THE LAMANITES HAD TAKEN,1"
"BEHOLD THEY WILL CRUCIFY HIM,1"
"AND I ALSO SPAKE,2"
"BEHOLD YOU MARVEL,1"
"AND THERE WERE GREAT AND,1"
"BUT BEHOLD SATAN,1"
"NEVERTHELESS I,10"
"COME UNTO ME,2"
"THOU SAIDST UNTO ME,1"
"AND CORIANTUMR,3"
"AS MANY,1"
"FOR BEHOLD MORONIHAH HAD SUPPOSED,1"
"NOW AARON HAD GONE UP,1"
"AND HAVING TARRIED,1"
"AND HE SHALL STAND WITH,1"
"O LORD THOU,1"
"THEREFORE YE CANNOT BE,1"
"AND AS I WENT FORTH,1"
"THEREFORE HE CAUSED A,1"
"FOR BEHOLD THE LORD GOD,1"
"BUT WHETHER,1"
"YEA AND THEY DID COMMIT,1"
"A,6"
"AND HE CAUSED THAT FORTIFICATIONS,1"
"FOR THERE WAS,2"
"I,111"
"JOY AND GLADNESS,1"
"O,87"
"THEREFORE I CONTENDED WITH,1"
"AND NOW THEY WERE DETERMINED,1"
"AND WO UNTO,4"
"YEA WILL THEY,1"
"BUT BEHOLD IN ONE,1"
"AND BEHOLD IF YE SHALL,1"
"O HOW COULD YOU HAVE,1"
"NOW LEHI WAS NOT,1"
"BUT ALMA,6"
"BEHOLD I MORONI DO,1"
"THEREFORE WO BE UNTO,2"
"AND HE SAID UNTIL THE,1"
"AND YE KNOW ALSO THAT,1"
"BUT BECAUSE OF,2"
"THEN I SAID HERE,1"
"FOR I PERCEIVE THAT YE,2"
"AND BLESSED ART THOU FOR,1"
"BUT BEFORE YE SEEK FOR,1"
"AND I BEAR RECORD,2"
"NOW WHEN THE LAMANITES SAW,1"
"NAY HE,1"
"REJOICE O MY,2"
"NOW LAMONI SAID UNTO HIM,1"
"BUT THERE WERE MANY WHO,1"
"AND HE SUFFERETH THIS,1"
"AND THERE SHALL RISE UP,1"
"AND BEHOLD IT CAME,2"
"AND THUS THEY DID AND,1"
"BUT NOTWITHSTANDING THE GREATNESS,1"
"AND HE ALSO CONTENDED WITH,1"
"HAS THE,1"
"NOW THE NEPHITES,4"
"BUT WE READ,1"
"AND JACOB AND JOSEPH,1"
"NOW THERE MUST NEEDS,1"
"AND I PRAY,2"
"AND AGAIN I SAY,7"
"HEARKEN UNTO ME YE,2"
"YEA DO YE,1"
"THUS THEY,3"
"AND THEY DID REJECT ALL,1"
"AND AMONG THE SONS OF,1"
"AND THE AMALEKITES WERE,1"
"BUT LAMAN FLED OUT OF,1"
"BUT OUR,2"
"SURELY HE,2"
"FOR UNTO US A,1"
"BEHOLD THEY BELIEVED IN,1"
"AND AMULEK SAID UNTO,2"
"AND I BEHOLD I,1"
"WO BE UNTO THE GENTILES,1"
"FOR BEHOLD THIS IS A,1"
"AND THEY ALL SPAKE SAVE,1"
"FOR WHERE YOUR TREASURE,1"
"BUT THE LABORER IN,1"
"NOW THESE ARE THEY,1"
"AND THUS THEY DID PROSPER,1"
"NOW AARON SAID,1"
"YEA COME UNTO HIM AND,1"
"BELIEVEST THOU THAT,2"
"AND HE LABORED DILIGENTLY THAT,1"
"AND THESE THINGS WERE DONE,1"
"FOR THY WASTE AND THY,1"
"AND WHOSO SHOULD REIGN IN,1"
"AND THEY ALSO SAY,1"
"AND BEHOLD THIS THING,1"
"ALL THEY SHALL SPEAK AND,1"
"CAN YE,1"
"AND IT HAD COME,2"
"AND THEY BEGAN AGAIN TO,1"
"AND HE KNOWETH THEIR,2"
"ASK AND IT,1"
"AND AS THE LORD,1"
"NOW MORONI WAS COMPELLED TO,1"
"SEE THAT YE STRENGTHEN,1"
"AND HE COMMANDED ME,1"
"BUT BEHOLD I WILL RETURN,1"
"WHEREFORE THE REMNANT,1"
"AND WHEN THREE HUNDRED AND,1"
"HOLY GOD WE,1"
"CEASE,1"
"THEREFORE HE CAUSED THAT HIS,1"
"THROUGH THE,1"
"AND THEY DID ALL,1"
"YEA EVEN DOTH,1"
"BEHOLD HE DID NOT,1"
"AND THY,2"
"AND I DESIRE THAT YE,1"
"AND INASMUCH AS IT,1"
"AND MORONI WAS,1"
"YEA THEY DID CRY,1"
"NOW THE HEADS,1"
"HATH HE COMMANDED ANY THAT,1"
"BUT BEHOLD JESUS CHRIST HATH,1"
"AND HE BAPTIZED ALL,1"
"HE DOETH NOT ANYTHING SAVE,1"
"COME UNTO ME O,2"
"YET THEY WERE A STRONG,1"
"FOR THE PEOPLE OF,1"
"BUT IF THINE,1"
"YEA ALL,1"
"AND MY FATHER ALSO,1"
"NEVERTHELESS NOTWITHSTANDING THE GREAT,1"
"FOR THE LORD HAD,1"
"AND THEY WERE BROUGHT,1"
"NOW IT WAS NOT,1"
"BUT BEHOLD MY LITTLE BAND,1"
"AND NOW THE CITY OF,1"
"FOR BEHOLD BY THE POWER,1"
"FOR THEIR,1"
"AND HE WAS A,3"
"MADMENAH IS REMOVED THE,1"
"BUT KING,1"
"YEA WHILE THEY ARE,1"
"AND WHOSO BELIEVETH NOT,1"
"IS IT THE SON OF,1"
"AND THE,257"
"NOW THERE WERE MANY THAT,1"
"AND SO SPEEDY WAS THEIR,1"
"THEREFORE FOR THIS CAUSE,1"
"BUT BEHOLD THE JUDGMENTS,1"
"AND I WENT,2"
"AND WE WILL NOURISH,1"
"FOR WHAT COULD,1"
"AND NEVER COULD BE A,1"
"AND O HOW,1"
"BEHOLD I DECLARE,1"
"CRY OVER THE FLOCKS,1"
"BUT BEHOLD MY SON THIS,1"
"HE GAVE UNTO THE,1"
"NEITHER WOULD THEY OBSERVE THE,1"
"AND MY PEOPLE WHO,1"
"NOW THIS IS THE GREAT,1"
"AND NO MAN KNOWETH,1"
"THEREFORE AMMON TURNED,1"
"YEA AND,90"
"THE INTERPRETATION THEREOF BY THE,1"
"YEA HEAVY DESTRUCTION,1"
"FOR JERUSALEM IS,1"
"NOW WHEN WE SAW THAT,1"
"AND BLESSED ARE THEY,2"
"AND NOW WHEN MOSIAH,1"
"AND THUS IN THEIR PROSPEROUS,1"
"NOW THERE ARE,1"
"YEA AND MY SOUL DELIGHTETH,1"
"YEA AND IN THE VALLEY,1"
"BUT BEHOLD TO MY,1"
"HE HATH FILLED ME WITH,1"
"FOR ACCORDING TO THE KNOWLEDGE,1"
"BEHOLD THE,14"
"BUT IT SUFFICETH,1"
"AND THE HAND OF,1"
"AND NOW ZERAHEMNAH I COMMAND,1"
"AND SO TERRIBLE,1"
"AND THEY SHALL BE,5"
