| TokenID         | Word Value      | Speaker         | Scribe          | VerseID         | 
| 0               | And             |                 |                 | 1               | 
| 1               | my              |                 |                 | 1               | 
| 2               | father          |                 |                 | 1               | 
| 3               | dwelt           |                 |                 | 1               | 
| 4               | in              |                 |                 | 1               | 
| 5               | a               |                 |                 | 1               | 
| 6               | tent            |                 |                 | 1               | 
| 7               | And             |                 |                 | 2               | 
| 8               | it              |                 |                 | 2               | 
| 9               | came            |                 |                 | 2               | 
| 10              | to              |                 |                 | 2               | 
| 11              | pass            |                 |                 | 2               | 
| 12              | that            |                 |                 | 2               | 
| 13              | I               |                 |                 | 2               | 
| 14              | Nephi           |                 |                 | 2               | 
| 15              | being           |                 |                 | 2               | 
| 16              | exceedingly     |                 |                 | 2               | 
| 17              | young           |                 |                 | 2               | 
| 18              | nevertheless    |                 |                 | 2               | 
| 19              | being           |                 |                 | 2               | 
| 20              | large           |                 |                 | 2               | 
| 21              | in              |                 |                 | 2               | 
| 22              | stature         |                 |                 | 2               | 
| 23              | and             |                 |                 | 2               | 
| 24              | also            |                 |                 | 2               | 
| 25              | having          |                 |                 | 2               | 
| 26              | great           |                 |                 | 2               | 
| 27              | desires         |                 |                 | 2               | 
| 28              | to              |                 |                 | 2               | 
| 29              | know            |                 |                 | 2               | 
| 30              | of              |                 |                 | 2               | 
| 31              | the             |                 |                 | 2               | 
| 32              | mysteries       |                 |                 | 2               | 
| 33              | of              |                 |                 | 2               | 
| 34              | God             |                 |                 | 2               | 
| 35              | wherefore       |                 |                 | 2               | 
| 36              | I               |                 |                 | 2               | 
| 37              | did             |                 |                 | 2               | 
| 38              | cry             |                 |                 | 2               | 
| 39              | unto            |                 |                 | 2               | 
| 40              | the             |                 |                 | 2               | 
| 41              | Lord            |                 |                 | 2               | 
| 42              | and             |                 |                 | 2               | 
| 43              | behold          |                 |                 | 2               | 
| 44              | he              |                 |                 | 2               | 
| 45              | did             |                 |                 | 2               | 
| 46              | visit           |                 |                 | 2               | 
| 47              | me              |                 |                 | 2               | 
| 48              | and             |                 |                 | 2               | 
| 49              | did             |                 |                 | 2               | 
| 50              | soften          |                 |                 | 2               | 
| 51              | my              |                 |                 | 2               | 
| 52              | heart           |                 |                 | 2               | 
| 53              | that            |                 |                 | 2               | 
| 54              | I               |                 |                 | 2               | 
| 55              | did             |                 |                 | 2               | 
| 56              | believe         |                 |                 | 2               | 
| 57              | all             |                 |                 | 2               | 
| 58              | the             |                 |                 | 2               | 
| 59              | words           |                 |                 | 2               | 
| 60              | which           |                 |                 | 2               | 
| 61              | had             |                 |                 | 2               | 
| 62              | been            |                 |                 | 2               | 
| 63              | spoken          |                 |                 | 2               | 
| 64              | by              |                 |                 | 2               | 
| 65              | my              |                 |                 | 2               | 
| 66              | father          |                 |                 | 2               | 
| 67              | wherefore       |                 |                 | 2               | 
| 68              | I               |                 |                 | 2               | 
| 69              | did             |                 |                 | 2               | 
| 70              | not             |                 |                 | 2               | 
| 71              | rebel           |                 |                 | 2               | 
| 72              | against         |                 |                 | 2               | 
| 73              | him             |                 |                 | 2               | 
| 74              | like            |                 |                 | 2               | 
| 75              | unto            |                 |                 | 2               | 
| 76              | my              |                 |                 | 2               | 
| 77              | brothers        |                 |                 | 2               | 
| 78              | And             |                 |                 | 3               | 
| 79              | I               |                 |                 | 3               | 
| 80              | spake           |                 |                 | 3               | 
| 81              | unto            |                 |                 | 3               | 
| 82              | Sam             |                 |                 | 3               | 
| 83              | making          |                 |                 | 3               | 
| 84              | known           |                 |                 | 3               | 
| 85              | unto            |                 |                 | 3               | 
