| VerseID         | Book            | Chapter         | Verse Number    | First Token ID  | 
| 38              | 1Nephi          | 2               | 15              | 0               | 
| 39              | 1Nephi          | 2               | 16              | 7               | 
| 40              | 1Nephi          | 2               | 17              | 78              | 
| 41              | 1Nephi          | 2               | 18              | 111             | 
| 42              | 1Nephi          | 2               | 19              | 139             | 
| 43              | 1Nephi          | 2               | 20              | 169             | 
| 44              | 1Nephi          | 2               | 21              | 209             | 
| 45              | 1Nephi          | 2               | 22              | 229             | 
| 46              | 1Nephi          | 2               | 23              | 249             | 
| 47              | 1Nephi          | 2               | 24              | 285             | 
| 48              | 1Nephi          | 3               | 1               | 312             | 
| 49              | 1Nephi          | 3               | 2               | 332             | 
| 50              | 1Nephi          | 3               | 3               | 366             | 
| 51              | 1Nephi          | 3               | 4               | 390             | 
| 52              | 1Nephi          | 3               | 5               | 420             | 
| 53              | 1Nephi          | 3               | 6               | 455             | 
| 54              | 1Nephi          | 3               | 7               | 472             | 
| 55              | 1Nephi          | 3               | 8               | 528             | 
| 56              | 1Nephi          | 3               | 9               | 556             | 
| 57              | 1Nephi          | 3               | 10              | 579             | 
| 58              | 1Nephi          | 3               | 11              | 604             | 
| 59              | 1Nephi          | 3               | 12              | 650             | 
| 60              | 1Nephi          | 3               | 13              | 672             | 
| 61              | 1Nephi          | 3               | 14              | 714             | 
| 62              | 1Nephi          | 3               | 15              | 751             | 
| 63              | 1Nephi          | 3               | 16              | 789             | 
| 64              | 1Nephi          | 3               | 17              | 838             | 
| 65              | 1Nephi          | 3               | 18              | 853             | 
| 66              | 1Nephi          | 3               | 19              | 900             | 
| 67              | 1Nephi          | 3               | 20              | 925             | 
